source_name,destination_name,r_agent,r_carac,r_causatif,r_conseq,r_has_part,r_holo,r_instr,r_isa,r_lieu,r_patient
espagnol,Espagne,0,0,0,0,0,1,0,0,0,0
Astéracées,marguerite,0,0,0,0,1,0,0,0,0,0
pleurer,trauma,0,0,1,0,0,0,0,0,0,0
Manet,artiste-peintre,0,0,0,0,0,0,0,1,0,0
mouvement,ordre,0,0,1,0,0,0,0,0,0,0
cétacé,mer,0,0,0,0,0,0,0,0,1,0
marin,voilier,0,0,0,0,0,1,0,0,1,0
applaudir,louer,0,0,0,0,0,0,0,0,0,0
CV,biographie,0,0,0,0,0,0,0,1,0,0
rouler,homme,0,0,0,0,0,0,0,0,0,1
gambader,chaton,1,0,0,0,0,0,0,0,0,0
patte,marcher,0,0,1,0,0,0,0,0,0,0
5,chiffre,0,0,0,0,0,0,0,1,0,0
vison,placard,0,0,0,0,0,0,0,0,1,0
émue,succès,0,0,1,0,0,0,0,0,0,0
erreur,excuses,0,0,0,1,0,0,0,0,0,0
DSK,compulsif,0,1,0,0,0,0,0,0,0,0
champ,céréalier,0,0,0,1,0,0,0,0,0,0
télé,information,0,0,1,0,0,0,0,0,0,0
Lautréamont,écrivain,0,0,0,0,0,0,0,1,0,0
protéine,oeuf,0,0,0,0,0,1,0,0,0,0
manifestation,revendications,0,0,1,0,0,0,0,0,0,0
table,café,0,0,0,0,0,0,0,0,1,0
rougeur,visage,0,0,0,0,0,0,0,0,1,0
grandir,amour,0,0,0,0,0,0,0,0,0,1
vagin,pintade,0,0,0,0,0,1,0,0,0,0
union,solide,0,1,0,0,0,0,0,0,0,0
vis,pointe,0,0,0,0,1,0,0,0,0,0
ratier,animal,0,0,0,0,0,0,0,1,0,0
culture,champ,0,0,0,0,0,1,0,0,1,0
gonzesse,humain,0,0,0,0,0,0,0,1,0,0
sophie,invertébré,0,0,0,0,0,0,0,1,0,0
niveler,pelle,0,0,0,0,0,0,1,0,0,0
Dudley,ville,0,0,0,0,0,0,0,1,0,0
Astérix,Idéfix,0,0,0,1,0,0,0,0,0,0
exhibition,exposition,0,0,0,0,0,1,0,0,0,0
mise,modeste,0,1,0,0,0,0,0,0,0,0
biberon,objet,0,0,0,0,0,0,0,1,0,0
